location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Gunnedah,North-west Slopes,AU,2019-04-05T16:00:00.000Z,2019-04-06T03:00:00+11:00,no2,0.003,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T16:00:00.000Z,2019-04-06T03:00:00+11:00,pm10,7.5,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T16:00:00.000Z,2019-04-06T03:00:00+11:00,pm25,4,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-05T16:00:00.000Z,2019-04-06T03:00:00+11:00,so2,0.081,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-05T16:00:00.000Z,2019-04-06T03:00:00+11:00,pm10,3.4,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-05T15:00:00.000Z,2019-04-06T02:00:00+11:00,so2,0.107,ppm,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-05T15:00:00.000Z,2019-04-06T02:00:00+11:00,pm10,3.2,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-05T15:00:00.000Z,2019-04-06T02:00:00+11:00,so2,0.079,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T15:00:00.000Z,2019-04-06T02:00:00+11:00,pm25,4.1,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T15:00:00.000Z,2019-04-06T02:00:00+11:00,o3,0.016,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T15:00:00.000Z,2019-04-06T02:00:00+11:00,no2,0.003,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T15:00:00.000Z,2019-04-06T02:00:00+11:00,pm10,7.5,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-05T15:00:00.000Z,2019-04-06T02:00:00+11:00,pm10,3.8,µg/m³,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-04T14:00:00.000Z,2019-04-05T01:00:00+11:00,pm10,2.9,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T14:00:00.000Z,2019-04-05T01:00:00+11:00,no2,0.006999999999999999,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T14:00:00.000Z,2019-04-05T01:00:00+11:00,pm10,7.4,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T14:00:00.000Z,2019-04-05T01:00:00+11:00,pm25,2.2,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
